name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group
MAX & THE MAGIC MARKER,DS,2011,Platform,0.0,0.04,0.0,0.0,71.0,75.0,,0.04,Nintendo
TRIGGER MAN,XB,2004,Shooter,0.03,0.01,0.0,0.0,31.0,75.0,T,0.04,Xbox
ASSASSIN'S CREED ALTAIR'S CHRONICLES,DS,2008,Platform,0.03,0.01,0.0,0.0,58.0,63.0,T,0.04,Nintendo
KIMI NI TODOKE TSUTAERU KIMOCHI,DS,2011,Adventure,0.0,0.0,0.05,0.0,71.0,75.0,,0.05,Nintendo
NORA TO KOKU NO KOUBOU KIRI NO MORI NO MAJO,DS,2011,Role-Playing,0.0,0.0,0.05,0.0,71.0,75.0,,0.05,Nintendo
BAD BOYS MIAMI TAKEDOWN,GC,2004,Shooter,0.03,0.01,0.0,0.0,35.0,20.0,M,0.04,Nintendo
HITMAN (2016),PS4,2016,Action,0.0,0.04,0.0,0.01,71.0,75.0,,0.05,Playstation
SHORT TRACK RACING TRADING PAINT,PS2,2009,Racing,0.02,0.02,0.0,0.01,71.0,75.0,E,0.05,Playstation
ATELIER ESCHA & LOGY ALCHEMISTS OF THE DUSK SKY,PSV,2015,Role-Playing,0.0,0.0,0.05,0.0,71.0,75.0,,0.05,Playstation
FANTASTIC FOUR RISE OF THE SILVER SURFER,Wii,2007,Action,0.04,0.01,0.0,0.0,39.0,59.0,T,0.05,Nintendo
GALAXY RACERS,DS,2010,Racing,0.04,0.0,0.0,0.0,71.0,75.0,E,0.04,Nintendo
GAME NO KANZUME VOL 1,SCD,1994,Misc,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Other
RAT ATTACK!,PS,1999,Puzzle,0.03,0.02,0.0,0.0,71.0,75.0,,0.05,Playstation
BLACK MIRROR 2,PC,2009,Adventure,0.0,0.04,0.0,0.01,71.0,75.0,,0.05,PC
PONY FRIENDS,DS,2007,Simulation,0.0,0.04,0.0,0.01,67.0,66.0,E,0.05,Nintendo
DANNY PHANTOM URBAN JUNGLE,DS,2006,Action,0.04,0.0,0.0,0.0,71.0,75.0,,0.04,Nintendo
SUMMON NIGHT CRAFT SWORD MONOGATARI HAJIMARI NO ISHI,GBA,2005,Role-Playing,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Nintendo
SOTSUGYOU II NEO GENERATION,PS,1995,Simulation,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
FORZA MOTORSPORT 3 ULTIMATE EDITION,X360,2010,Racing,0.0,0.04,0.0,0.01,71.0,75.0,,0.05,Xbox
THE KING OF FIGHTERS 2002 UNLIMITED MATCH,PS2,2009,Fighting,0.0,0.0,0.04,0.0,71.0,75.0,,0.04,Playstation
LOONEY TUNES CARTOON CONDUCTOR,DS,2008,Misc,0.04,0.0,0.0,0.0,67.0,75.0,E,0.04,Nintendo
